Rank	EntrezID	Symbol	Score
204	63932	CXORF56	-6.331
205	25782	RAB3GAP2	-6.334
206	84679	SLC9A7	-6.342
207	7994	KAT6A	-6.343
208	7707	ZNF148	-6.366
209	867	CBL	-6.369
210	169792	GLIS3	-6.397
211	201163	FLCN	-6.422
212	2146	EZH2	-6.434
213	6857	SYT1	-6.462
214	4998	ORC1	-6.501
215	7403	KDM6A	-6.502
216	3767	KCNJ11	-6.516
217	5058	PAK1	-6.524
218	6601	SMARCC2	-6.548
219	8493	PPM1D	-6.567
220	5727	PTCH1	-6.574
221	4841	NONO	-6.589
222	55780	ERMARD	-6.601
223	64131	XYLT1	-6.603
224	6418	SET	-6.619
225	54968	TMEM70	-6.62
226	2068	ERCC2	-6.627
227	8295	TRRAP	-6.66
228	1741	DLG3	-6.661
229	8450	CUL4B	-6.672
230	10269	ZMPSTE24	-6.709
231	7227	TRPS1	-6.713
232	8425	LTBP4	-6.719
233	7552	ZNF711	-6.723
234	4000	LMNA	-6.753
235	271	AMPD2	-6.776
236	1855	DVL1	-6.792
237	10381	TUBB3	-6.797
238	3211	HOXB1	-6.802
239	3192	HNRNPU	-6.841
240	29920	PYCR2	-6.841
241	55714	TENM3	-6.856
242	55603	TENT5A	-6.865
243	2892	GRIA3	-6.873
244	7319	UBE2A	-6.877
245	7355	SLC35A2	-6.891
246	4212	MEIS2	-6.9
247	4089	SMAD4	-6.902
248	4709	NDUFB3	-6.933
249	55904	KMT2E	-6.935
250	4208	MEF2C	-6.951
251	2904	GRIN2B	-6.953
252	23135	KDM6B	-6.974
253	8091	HMGA2	-6.974
254	10479	SLC9A6	-6.975
255	51010	EXOSC3	-6.982
256	57003	CCDC47	-7.005
257	274	BIN1	-7.012
258	79868	ALG13	-7.029
259	119559	SFXN4	-7.034
260	2332	FMR1	-7.039
261	1457	CSNK2A1	-7.063
262	1756	DMD	-7.063
263	56975	FAM20C	-7.081
264	63931	MRPS14	-7.107
265	6492	SIM1	-7.112
266	6888	TALDO1	-7.121
267	28514	DLL1	-7.131
268	7469	NELFA	-7.132
269	2893	GRIA4	-7.136
270	283489	CHAMP1	-7.139
271	6309	SC5D	-7.151
272	65109	UPF3B	-7.16
273	6885	MAP3K7	-7.16
274	9487	PIGL	-7.169
275	54551	MAGEL2	-7.175
276	7546	ZIC2	-7.183
277	9373	PLAA	-7.201
278	8905	AP1S2	-7.233
279	50801	KCNK4	-7.234
280	170302	ARX	-7.239
281	8924	HERC2	-7.244
282	3832	KIF11	-7.254
283	372	ARCN1	-7.285
284	1213	CLTC	-7.29
285	5605	MAP2K2	-7.29
286	6611	SMS	-7.297
287	1105	CHD1	-7.301
288	4983	OPHN1	-7.307
289	84188	FAR1	-7.356
290	10466	COG5	-7.372
291	84667	HES7	-7.378
292	23221	RHOBTB2	-7.385
293	175	AGA	-7.39
294	23594	ORC6	-7.412
295	80232	WDR26	-7.424
296	3190	HNRNPK	-7.426
297	6942	TCF20	-7.431
298	25914	RTTN	-7.435
299	9509	ADAMTS2	-7.467
300	6323	SCN1A	-7.485
301	27125	AFF4	-7.5
302	25973	PARS2	-7.501
303	113189	CHST14	-7.502
304	29940	DSE	-7.508
305	79158	GNPTAB	-7.512
306	116150	NUS1	-7.513
307	26053	AUTS2	-7.518
308	1009	CDH11	-7.521
309	10084	PQBP1	-7.538
310	55644	OSGEP	-7.553
311	8573	CASK	-7.555
312	2697	GJA1	-7.578
313	79796	ALG9	-7.578
314	55252	ASXL2	-7.583
315	118429	ANTXR2	-7.589
316	23592	LEMD3	-7.592
317	84300	UQCC2	-7.601
318	1193	CLIC2	-7.606
319	4853	NOTCH2	-7.613
320	2812	GP1BB	-7.613
321	672	BRCA1	-7.621
322	26224	FBXL3	-7.626
323	84168	ANTXR1	-7.66
324	79728	PALB2	-7.668
325	26580	BSCL2	-7.674
326	9894	TELO2	-7.681
327	5422	POLA1	-7.722
328	10716	TBR1	-7.735
329	27315	PGAP2	-7.738
330	6878	TAF6	-7.747
331	11141	IL1RAPL1	-7.748
332	1822	ATN1	-7.75
333	28952	CCDC22	-7.764
334	84340	GFM2	-7.771
335	84295	PHF6	-7.794
336	57498	KIDINS220	-7.795
337	5894	RAF1	-7.804
338	23133	PHF8	-7.804
339	4010	LMX1B	-7.809
340	7290	HIRA	-7.825
341	2245	FGD1	-7.826
342	23556	PIGN	-7.833
343	2137	EXTL3	-7.833
344	6597	SMARCA4	-7.835
345	10733	PLK4	-7.838
346	60	ACTB	-7.849
347	6567	SLC16A2	-7.859
348	547	KIF1A	-7.877
349	9897	WASHC5	-7.879
350	55691	FRMD4A	-7.884
351	1278	COL1A2	-7.89
352	1781	DYNC1I2	-7.9
353	990	CDC6	-7.901
354	6651	SON	-7.907
355	389856	USP27X	-7.915
356	6659	SOX4	-7.924
357	91949	COG7	-7.949
358	10484	SEC23A	-7.963
359	10982	MAPRE2	-7.972
360	6535	SLC6A8	-7.973
361	10717	AP4B1	-7.976
362	27245	AHDC1	-7.994
363	55210	ATAD3A	-7.999
364	1725	DHPS	-8.003
365	6571	SLC18A2	-8.008
366	57465	TBC1D24	-8.009
367	729920	CRPPA	-8.009
368	389827	MYMK	-8.011
369	1107	CHD3	-8.015
370	473	RERE	-8.016
371	3295	HSD17B4	-8.017
372	10262	SF3B4	-8.022
373	10683	DLL3	-8.035
374	7592	ZNF41	-8.047
375	85476	GFM1	-8.053
376	4694	NDUFA1	-8.058
377	28960	DCPS	-8.076
378	80185	TTI2	-8.087
379	23126	POGZ	-8.098
380	10128	LRPPRC	-8.134
381	85440	DOCK7	-8.143
382	6239	RREB1	-8.151
383	57531	HACE1	-8.152
384	50485	SMARCAL1	-8.159
385	137492	VPS37A	-8.165
386	1312	COMT	-8.166
387	2626	GATA4	-8.166
388	116442	RAB39B	-8.173
389	50651	SLC45A1	-8.177
390	55180	LINS1	-8.183
391	421	ARVCF	-8.183
392	10352	WARS2	-8.184
393	7253	TSHR	-8.186
394	8270	LAGE3	-8.188
395	113179	ADAT3	-8.189
396	9158	FIBP	-8.196
397	1806	DPYD	-8.197
398	8242	KDM5C	-8.199
399	6712	SPTBN2	-8.205
400	3981	LIG4	-8.222
401	64135	IFIH1	-8.257
402	3954	LETM1	-8.258
403	1399	CRKL	-8.259
404	1482	NKX2-5	-8.266
405	8942	KYNU	-8.277
406	1280	COL2A1	-8.282
407	9757	KMT2B	-8.282
408	5447	POR	-8.282
409	6299	SALL1	-8.304
410	4920	ROR2	-8.306
411	8546	AP3B1	-8.324
412	26047	CNTNAP2	-8.34
413	2736	GLI2	-8.345
414	5373	PMM2	-8.355
415	57477	SHROOM4	-8.356
416	100033413	SNORD116-1	-8.364
417	9853	RUSC2	-8.393
418	9896	FIG4	-8.4
419	2629	GBA	-8.408
420	1146	CHRNG	-8.422
421	56992	KIF15	-8.426
422	2239	GPC4	-8.44
423	1183	CLCN4	-8.441
424	2530	FUT8	-8.444
425	26235	FBXL4	-8.448
426	1836	SLC26A2	-8.453
427	1144	CHRND	-8.455
428	9126	SMC3	-8.458
429	55572	FOXRED1	-8.458
430	55503	TRPV6	-8.471
431	53834	FGFRL1	-8.473
432	1663	DDX11	-8.48
433	6509	SLC1A4	-8.499
434	7080	NKX2-1	-8.5
435	4329	ALDH6A1	-8.512
436	7474	WNT5A	-8.517
437	6909	TBX2	-8.531
438	6660	SOX5	-8.54
439	2645	GCK	-8.562
440	6469	SHH	-8.566
441	55699	IARS2	-8.566
442	23065	EMC1	-8.57
443	10585	POMT1	-8.576
444	50814	NSDHL	-8.582
445	23258	DENND5A	-8.583
446	56006	SMG9	-8.594
447	84153	RNASEH2C	-8.599
448	2737	GLI3	-8.613
449	55621	TRMT1	-8.636
450	11160	ERLIN2	-8.637
451	81857	MED25	-8.644
452	55975	KLHL7	-8.646
453	1644	DDC	-8.669
454	3658	IREB2	-8.672
455	6326	SCN2A	-8.686
456	79718	TBL1XR1	-8.687
457	5591	PRKDC	-8.688
458	134701	RIPPLY2	-8.689
459	10472	ZBTB18	-8.699
460	6499	SKIV2L	-8.723
461	1301	COL11A1	-8.747
462	113246	C12ORF57	-8.761
463	1917	EEF1A2	-8.762
464	91754	NEK9	-8.767
465	3054	HCFC1	-8.784
466	5189	PEX1	-8.786
467	5000	ORC4	-8.787
468	11154	AP4S1	-8.795
469	3651	PDX1	-8.813
470	9181	ARHGEF2	-8.831
471	5325	PLAGL1	-8.834
472	9568	GABBR2	-8.842
473	23363	OBSL1	-8.852
474	1947	EFNB1	-8.855
475	29072	SETD2	-8.863
476	5818	NECTIN1	-8.87
477	111	ADCY5	-8.879
478	2720	GLB1	-8.884
479	2961	GTF2E2	-8.884
480	9179	AP4M1	-8.888
481	2582	GALE	-8.897
482	6228	RPS23	-8.903
483	1134	CHRNA1	-8.906
484	2074	ERCC6	-8.91
485	55697	VAC14	-8.914
486	150468	CKAP2L	-8.923
487	440138	ALG11	-8.949
488	9698	PUM1	-8.95
489	56521	DNAJC12	-8.953
490	6748	SSR4	-8.976
491	50937	CDON	-8.979
492	23483	TGDS	-8.979
493	5921	RASA1	-8.982
494	2639	GCDH	-8.986
495	92935	MARS2	-8.992
496	5159	PDGFRB	-9.008
497	2314	FLII	-9.015
498	139411	PTCHD1	-9.016
499	3630	INS	-9.035
500	27445	PCLO	-9.036
501	58508	KMT2C	-9.04
502	55835	CENPJ	-9.065
503	4038	LRP4	-9.076
504	259266	ASPM	-9.082
505	23404	EXOSC2	-9.096
506	26227	PHGDH	-9.097
507	9131	AIFM1	-9.102
508	2218	FKTN	-9.107
509	3763	KCNJ6	-9.136
510	246329	STAC3	-9.137
511	55823	VPS11	-9.157
512	78989	COLEC11	-9.164
513	5879	RAC1	-9.166
514	7436	VLDLR	-9.198
515	2334	AFF2	-9.201
516	51660	MPC1	-9.214
517	6638	SNRPN	-9.215
518	10274	STAG1	-9.217
519	3653	IPW	-9.237
520	8818	DPM2	-9.24
521	186	AGTR2	-9.24
522	2782	GNB1	-9.255
523	4081	MAB21L1	-9.259
524	3955	LFNG	-9.262
525	5261	PHKG2	-9.281
526	375	ARF1	-9.293
527	8925	HERC1	-9.293
528	51684	SUFU	-9.313
529	2733	GLE1	-9.317
530	10382	TUBB4A	-9.318
531	340533	NEXMIF	-9.324
532	4247	MGAT2	-9.328
533	1605	DAG1	-9.338
534	54941	RNF125	-9.341
535	5500	PPP1CB	-9.355
536	9496	TBX4	-9.36
537	8867	SYNJ1	-9.367
538	10907	TXNL4A	-9.367
539	2627	GATA6	-9.381
540	57122	NUP107	-9.381
541	9759	HDAC4	-9.383
542	129563	DIS3L2	-9.388
543	51412	ACTL6B	-9.389
544	2972	BRF1	-9.411
545	284098	PIGW	-9.417
546	51319	RSRC1	-9.433
547	22931	RAB18	-9.434
548	3708	ITPR1	-9.445
549	549	AUH	-9.454
550	2563	GABRD	-9.464
551	1108	CHD4	-9.467
552	157680	VPS13B	-9.467
553	9632	SEC24C	-9.467
554	132	ADK	-9.479
555	9378	NRXN1	-9.483
556	57061	HYMAI	-9.486
557	2535	FZD2	-9.491
558	6901	TAZ	-9.504
559	1778	DYNC1H1	-9.506
560	7102	TSPAN7	-9.511
561	2313	FLI1	-9.525
562	57520	HECW2	-9.53
563	160418	TMTC3	-9.537
564	4649	MYO9A	-9.539
565	16	AARS1	-9.552
566	8481	OFD1	-9.572
567	145624	PWAR1	-9.574
568	53335	BCL11A	-9.578
569	7467	WHCR	-9.588
570	3339	HSPG2	-9.599
571	2248	FGF3	-9.618
572	7273	TTN	-9.625
573	6904	TBCD	-9.625
574	51256	TBC1D7	-9.633
575	81620	CDT1	-9.646
576	84231	TRAF7	-9.66
577	9949	AMMECR1	-9.668
578	54681	P4HTM	-9.675
579	2006	ELN	-9.678
580	3800	KIF5C	-9.69
581	221037	JMJD1C	-9.69
582	3176	HNMT	-9.699
583	89891	WDR34	-9.705
584	57539	WDR35	-9.711
585	7337	UBE3A	-9.734
586	51103	NDUFAF1	-9.745
587	29925	GMPPB	-9.747
588	29968	PSAT1	-9.763
589	284439	SLC25A42	-9.763
590	3643	INSR	-9.771
591	9723	SEMA3E	-9.789
592	791114	PWRN1	-9.79
593	4692	NDN	-9.799
594	91179	SCARF2	-9.813
595	4838	NODAL	-9.817
596	22856	CHSY1	-9.822
597	10293	TRAIP	-9.829
598	2072	ERCC4	-9.832
599	701	BUB1B	-9.833
600	23742	NPAP1	-9.833
601	7518	XRCC4	-9.847
602	5723	PSPH	-9.852
603	54880	BCOR	-9.853
604	85021	REPS1	-9.86
605	10290	SPEG	-9.883
606	1161	ERCC8	-9.891
607	285590	SH3PXD2B	-9.896
608	9325	TRIP4	-9.913
609	80326	WNT10A	-9.916
610	23327	NEDD4L	-9.923
611	128637	TBC1D20	-9.923
612	57545	CC2D2A	-9.936
613	7737	RNF113A	-9.941
614	26277	TINF2	-9.951
615	4952	OCRL	-9.958
616	131118	DNAJC19	-9.984
617	5830	PEX5	-9.99
618	6448	SGSH	-9.991
619	5256	PHKA2	-10.014
620	57724	EPG5	-10.027
621	545	ATR	-10.03
622	55331	ACER3	-10.036
623	7173	TPO	-10.039
624	7353	UFD1	-10.039
625	2706	GJB2	-10.043
626	55154	MSTO1	-10.051
627	51085	MLXIPL	-10.058
628	2623	GATA1	-10.058
629	157570	ESCO2	-10.06
630	2189	FANCG	-10.062
631	9820	CUL7	-10.069
632	4036	LRP2	-10.073
633	23111	SPART	-10.073
634	10108	MKRN3-AS1	-10.076
635	6334	SCN8A	-10.086
636	1499	CTNNB1	-10.091
637	9459	ARHGEF6	-10.093
638	8985	PLOD3	-10.094
639	4750	NEK1	-10.097
640	286262	TPRN	-10.117
641	58497	PRUNE1	-10.124
642	10682	EBP	-10.125
643	1801	DPH1	-10.126
644	79641	ROGDI	-10.134
645	9711	RUBCN	-10.142
646	6496	SIX3	-10.144
647	6897	TARS1	-10.144
648	6855	SYP	-10.16
649	338433	SNORD115-1	-10.169
650	124512	METTL23	-10.178
651	121340	SP7	-10.183
652	79633	FAT4	-10.19
653	5908	RAP1B	-10.19
654	6678	SPARC	-10.191
655	79644	SRD5A3	-10.194
656	114548	NLRP3	-10.203
657	5116	PCNT	-10.233
658	51763	INPP5K	-10.255
659	9922	IQSEC1	-10.26
660	5573	PRKAR1A	-10.265
661	2911	GRM1	-10.271
662	55012	PPP2R3C	-10.271
663	9702	CEP57	-10.278
664	23431	AP4E1	-10.298
665	63035	BCORL1	-10.298
666	84162	KIAA1109	-10.306
667	2744	GLS	-10.31
668	112939	NACC1	-10.324
669	80144	FRAS1	-10.326
670	126792	B3GALT6	-10.328
671	219844	HYLS1	-10.328
672	79791	FBXO31	-10.334
673	23512	SUZ12	-10.334
674	3188	HNRNPH2	-10.336
675	80324	PUS1	-10.344
676	3481	IGF2	-10.351
677	3340	NDST1	-10.355
678	8733	GPAA1	-10.356
679	51132	RLIM	-10.36
680	166378	SPATA5	-10.362
681	650	BMP2	-10.373
682	5160	PDHA1	-10.374
683	55768	NGLY1	-10.377
684	774	CACNA1B	-10.382
685	26123	TCTN3	-10.383
686	92335	STRADA	-10.387
687	7991	TUSC3	-10.402
688	124997	WDR81	-10.407
689	773	CACNA1A	-10.409
690	25970	SH2B1	-10.409
691	375790	AGRN	-10.411
692	51294	PCDH12	-10.424
693	9841	ZBTB24	-10.43
694	7701	ZNF142	-10.464
695	6390	SDHB	-10.472
696	23247	KIAA0556	-10.48
697	112858	TP53RK	-10.483
698	79053	ALG8	-10.488
699	5932	RBBP8	-10.498
700	23118	TAB2	-10.499
701	4552	MTRR	-10.499
702	26503	SLC17A5	-10.504
703	2702	GJA5	-10.527
704	81570	CLPB	-10.536
705	5279	PIGC	-10.546
706	9255	AIMP1	-10.547
707	57217	TTC7A	-10.553
708	686	BTD	-10.556
709	51067	YARS2	-10.566
710	9091	PIGQ	-10.572
711	9581	PREPL	-10.598
712	80055	PGAP1	-10.607
713	5594	MAPK1	-10.61
714	1188	CLCNKB	-10.62
715	404672	GTF2H5	-10.622
716	9918	NCAPD2	-10.632
717	51604	PIGT	-10.634
718	22930	RAB3GAP1	-10.638
719	4700	NDUFA6	-10.64
720	51199	NIN	-10.658
721	51300	TIMMDC1	-10.667
722	9184	BUB3	-10.67
723	551	AVP	-10.677
724	1718	DHCR24	-10.681
725	9990	SLC12A6	-10.682
726	65082	VPS33A	-10.685
727	2902	GRIN1	-10.686
728	81031	SLC2A10	-10.69
729	1349	COX7B	-10.699
730	28981	IFT81	-10.706
731	5393	EXOSC9	-10.715
732	818	CAMK2G	-10.719
733	2619	GAS1	-10.72
734	2664	GDI1	-10.728
735	51520	LARS1	-10.729
736	8626	TP63	-10.731
737	5621	PRNP	-10.737
738	2261	FGFR3	-10.74
739	2799	GNS	-10.751
740	2077	ERF	-10.761
741	8888	MCM3AP	-10.775
742	347344	ZNF81	-10.778
743	5073	PARN	-10.781
744	9150	CTDP1	-10.783
745	8241	RBM10	-10.783
746	26005	C2CD3	-10.787
747	57688	ZSWIM6	-10.794
748	83987	CCDC8	-10.796
749	7021	TFAP2B	-10.8
750	5824	PEX19	-10.802
751	23233	EXOC6B	-10.807
752	8813	DPM1	-10.814
753	4281	MID1	-10.819
754	26100	WIPI2	-10.829
755	5075	PAX1	-10.829
756	1785	DNM2	-10.856
757	745	MYRF	-10.87
758	9244	CRLF1	-10.87
759	51002	TPRKB	-10.873
760	84947	SERAC1	-10.875
761	57102	C12ORF4	-10.881
762	2187	FANCB	-10.881
763	6497	SKI	-10.896
764	6628	SNRPB	-10.898
765	89970	RSPRY1	-10.898
766	1139	CHRNA7	-10.9
767	80311	KLHL15	-10.906
768	8738	CRADD	-10.908
769	26128	KIFBP	-10.91
770	2259	FGF14	-10.922
771	10730	YME1L1	-10.925
772	51651	PTRH2	-10.927
773	56479	KCNQ5	-10.928
774	56052	ALG1	-10.929
775	4337	MOCS1	-10.931
776	10060	ABCC9	-10.934
777	1788	DNMT3A	-10.945
778	79876	UBA5	-10.951
779	7201	TRHR	-10.955
780	114034	TOE1	-10.962
781	136647	MPLKIP	-10.966
782	254065	BRWD3	-10.968
783	51244	CCDC174	-10.97
784	51501	HIKESHI	-10.97
785	79143	MBOAT7	-10.975
786	7054	TH	-10.98
787	7291	TWIST1	-10.982
788	4338	MOCS2	-10.982
789	5906	RAP1A	-10.985
790	51117	COQ4	-10.993
791	6774	STAT3	-10.998
792	54539	NDUFB11	-10.998
793	1292	COL6A2	-10.999
794	25915	NDUFAF3	-11.0
795	2067	ERCC1	-11.005
796	2178	FANCE	-11.014
797	284217	LAMA1	-11.014
798	55773	TBC1D23	-11.02
799	7531	YWHAE	-11.026
800	51111	KMT5B	-11.031
801	63925	ZNF335	-11.036
802	2131	EXT1	-11.039
803	288	ANK3	-11.05
804	8928	FOXH1	-11.057
805	526	ATP6V1B2	-11.072
806	8777	MPDZ	-11.074
807	84706	GPT2	-11.091
808	79068	FTO	-11.093
809	7466	WFS1	-11.094
810	9037	SEMA5A	-11.095
811	652	BMP4	-11.121
812	3199	HOXA2	-11.121
813	4285	MIPEP	-11.121
814	55788	LMBRD1	-11.127
815	7681	MKRN3	-11.13
816	84879	MFSD2A	-11.131
817	57082	KNL1	-11.131
818	51741	WWOX	-11.148
819	4094	MAF	-11.163
820	7170	TPM3	-11.164
821	1305	COL13A1	-11.165
822	23152	CIC	-11.174
823	2710	GK	-11.179
824	201595	STT3B	-11.18
825	6616	SNAP25	-11.184
826	153241	CEP120	-11.186
827	92609	TIMM50	-11.19
828	478	ATP1A3	-11.194
829	8309	ACOX2	-11.197
830	6513	SLC2A1	-11.2
831	10013	HDAC6	-11.207
832	30008	EFEMP2	-11.217
833	55084	SOBP	-11.22
834	5351	PLOD1	-11.221
835	2257	FGF12	-11.226
836	2175	FANCA	-11.227
837	10082	GPC6	-11.228
838	55624	POMGNT1	-11.236
839	1795	DOCK3	-11.238
840	644096	SDHAF1	-11.244
841	55670	PEX26	-11.247
842	2253	FGF8	-11.256
843	84705	GTPBP3	-11.256
844	8812	CCNK	-11.264
845	2903	GRIN2A	-11.264
846	191	AHCY	-11.265
847	57211	ADGRG6	-11.278
848	10297	APC2	-11.279
849	29954	POMT2	-11.283
850	57697	FANCM	-11.296
851	51574	LARP7	-11.296
852	9719	ADAMTSL2	-11.298
853	1798	DPAGT1	-11.299
854	513	ATP5F1D	-11.306
855	55704	CCDC88A	-11.31
856	23414	ZFPM2	-11.313
857	22854	NTNG1	-11.317
858	641	BLM	-11.321
859	3739	KCNA4	-11.324
860	55526	DHTKD1	-11.325
861	23732	FRRS1L	-11.327
862	443	ASPA	-11.332
863	11113	CIT	-11.337
864	79823	CAMKMT	-11.34
865	1759	DNM1	-11.341
866	3737	KCNA2	-11.341
867	58	ACTA1	-11.342
868	6531	SLC6A3	-11.349
869	22983	MAST1	-11.351
870	6576	SLC25A1	-11.363
871	9837	GINS1	-11.365
872	79228	THOC6	-11.368
873	999	CDH1	-11.374
874	406932	MIR140	-11.376
875	80224	NUBPL	-11.382
876	197131	UBR1	-11.384
877	7169	TPM2	-11.388
878	23114	NFASC	-11.392
879	2192	FBLN1	-11.393
880	6392	SDHD	-11.395
881	10102	TSFM	-11.4
882	6572	SLC18A3	-11.408
883	9200	HACD1	-11.414
884	9526	MPDU1	-11.417
885	4091	SMAD6	-11.418
886	23322	RPGRIP1L	-11.425
887	51317	PHF21A	-11.426
888	10324	KLHL41	-11.438
889	6928	HNF1B	-11.441
